San Fernando;Avenida del Sistema Solar;27;San Fernando Henares;28830;40.450472;-3.494262;30;9:00;17:30
UCC Departure;San Felipe Neri;1;Madrid;28013;40.4161737;-3.7087409;15;9:00;17:30
